name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Aquiraz, CE, Brasil",2024-05-18,32.0,25.0,28.0,36.8,25.0,30.8,23.1,75.3,0.0,0,0.0,rain,0,0,29.9,24.1,131.1,1012.6,27.2,10.8,231.8,19.9,7,30,2024-05-18T05:32:02,2024-05-18T17:27:55,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-05-19,31.0,25.0,28.0,36.5,25.0,31.3,24.4,81.6,3.0,100,4.17,rain,0,0,31.0,20.5,128.4,1012.5,40.5,10.8,224.0,19.3,8,10,2024-05-19T05:32:09,2024-05-19T17:27:55,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-05-20,30.0,25.0,27.8,36.2,25.0,31.3,24.5,82.4,0.6,100,4.17,rain,0,0,31.3,25.9,128.5,1012.7,49.7,10.9,221.4,19.0,7,10,2024-05-20T05:32:16,2024-05-20T17:27:55,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"82397099999,SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-05-21,31.0,26.0,28.3,35.5,26.0,32.0,24.3,79.9,0.0,0,0.0,rain,0,0,35.6,31.7,119.6,1012.8,39.6,10.9,256.9,22.1,9,10,2024-05-21T05:32:24,2024-05-21T17:27:56,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-05-22,31.0,26.0,28.4,35.5,26.0,31.9,23.8,76.8,0.0,0,0.0,rain,0,0,44.3,37.1,126.9,1012.8,44.6,10.9,240.2,20.6,8,10,2024-05-22T05:32:32,2024-05-22T17:27:57,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-05-23,31.0,26.0,28.3,36.5,26.0,32.2,24.3,79.4,3.0,100,4.17,rain,0,0,46.8,29.5,125.7,1011.9,71.9,10.5,198.9,17.0,7,30,2024-05-23T05:32:40,2024-05-23T17:27:59,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"82397099999,SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-05-24,31.0,26.0,28.2,37.7,26.0,31.6,24.0,78.6,5.0,100,4.17,rain,0,0,38.5,27.7,136.1,1011.6,74.1,10.9,123.2,10.7,5,10,2024-05-24T05:32:49,2024-05-24T17:28:02,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"82397099999,SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-05-25,31.0,27.0,28.7,37.7,30.1,33.4,24.5,78.3,2.0,100,4.17,rain,0,0,38.5,25.9,119.4,1011.5,71.1,10.8,179.9,15.5,6,30,2024-05-25T05:32:58,2024-05-25T17:28:05,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-05-26,29.0,25.0,27.2,33.6,25.0,29.7,23.9,82.6,0.0,0,0.0,rain,0,0,33.1,31.7,119.2,1012.9,59.5,10.8,60.2,5.3,3,10,2024-05-26T05:33:08,2024-05-26T17:28:08,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-05-27,32.0,25.8,28.3,36.8,25.8,30.7,23.0,74.3,0.0,0,0.0,rain,0,0,33.1,27.7,137.0,1012.7,32.0,10.9,257.9,22.2,9,10,2024-05-27T05:33:18,2024-05-27T17:28:13,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-05-28,32.0,24.0,27.8,37.9,24.0,31.1,24.3,82.0,16.0,100,8.33,rain,0,0,40.3,27.7,133.5,1013.0,65.2,11.1,218.9,18.9,7,30,2024-05-28T05:33:29,2024-05-28T17:28:18,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"82397099999,SBFZ,82398099999,remote"
"Aquiraz, CE, Brasil",2024-05-29,26.0,24.0,25.3,26.0,24.0,25.3,24.3,93.8,28.5,100,16.67,rain,0,0,26.3,16.6,131.9,1013.9,74.9,8.3,52.5,4.4,2,10,2024-05-29T05:33:39,2024-05-29T17:28:23,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"82397099999,SBFZ,82398099999"
"Aquiraz, CE, Brasil",2024-05-30,26.0,24.0,25.3,26.0,24.0,25.3,24.1,93.3,28.5,100,12.5,rain,0,0,36.4,24.1,154.9,1013.9,87.9,8.9,60.5,5.2,3,10,2024-05-30T05:33:50,2024-05-30T17:28:29,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"82397099999,SBFZ,82398099999"
