name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Aracati, CE, Brasil",2024-05-18,32.6,23.2,27.8,35.3,23.2,29.2,21.6,70.3,0.0,0,0.0,rain,0,0,27.7,13.8,82.3,1010.4,18.4,22.8,251.9,21.6,8,10,2024-05-18T05:30:36,2024-05-18T17:24:34,0.34,Clear,Clear conditions throughout the day.,clear-day,"81798099999,81834099999"
"Aracati, CE, Brasil",2024-05-19,32.9,23.2,28.0,37.1,23.2,30.2,22.7,74.3,1.6,100,37.5,rain,0,0,27.0,11.1,91.2,1010.2,25.7,23.8,230.5,19.8,8,10,2024-05-19T05:30:43,2024-05-19T17:24:33,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"81798099999,81834099999"
"Aracati, CE, Brasil",2024-05-20,32.4,23.2,27.6,36.6,23.2,29.5,22.8,76.5,2.1,100,54.17,rain,0,0,28.1,12.1,100.9,1010.5,31.3,23.8,223.8,19.3,8,10,2024-05-20T05:30:51,2024-05-20T17:24:33,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"81798099999,81834099999"
"Aracati, CE, Brasil",2024-05-21,33.5,24.1,28.3,35.4,24.1,29.9,21.5,69.1,0.6,100,16.67,rain,0,0,36.0,14.2,96.3,1010.7,16.8,23.7,261.3,22.5,9,10,2024-05-21T05:30:59,2024-05-21T17:24:33,0.44,Rain,Clear conditions throughout the day with rain.,rain,"81798099999,81834099999"
"Aracati, CE, Brasil",2024-05-22,32.9,24.1,28.1,35.7,24.1,29.6,21.8,70.5,0.3,100,12.5,rain,0,0,41.8,20.7,102.9,1010.7,14.9,24.1,250.9,21.5,9,10,2024-05-22T05:31:08,2024-05-22T17:24:33,0.47,Rain,Clear conditions throughout the day with rain.,rain,"81798099999,81834099999"
"Aracati, CE, Brasil",2024-05-23,32.5,24.1,27.7,35.6,24.1,29.4,22.2,73.1,1.4,100,37.5,rain,0,0,45.0,17.4,113.5,1009.9,80.2,22.6,196.1,16.9,7,10,2024-05-23T05:31:17,2024-05-23T17:24:35,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"81798099999,81834099999"
"Aracati, CE, Brasil",2024-05-24,33.0,24.2,28.2,35.6,24.2,29.9,21.6,68.6,1.9,100,37.5,rain,0,0,38.2,11.4,134.8,1009.5,83.5,21.2,99.0,8.5,4,30,2024-05-24T05:31:27,2024-05-24T17:24:37,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"81798099999,81834099999"
"Aracati, CE, Brasil",2024-05-25,33.1,25.1,28.7,36.2,25.1,31.0,22.0,68.3,1.8,100,25.0,rain,0,0,38.9,13.9,105.5,1009.3,84.9,23.2,162.3,14.0,6,30,2024-05-25T05:31:37,2024-05-25T17:24:39,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"81798099999,81834099999"
"Aracati, CE, Brasil",2024-05-26,31.3,24.1,27.0,34.9,24.1,28.4,22.3,76.5,15.5,100,45.83,rain,0,0,37.1,18.1,70.9,1010.8,75.7,20.3,98.3,8.5,4,10,2024-05-26T05:31:47,2024-05-26T17:24:42,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"81798099999,81834099999"
"Aracati, CE, Brasil",2024-05-27,33.5,23.5,27.9,35.4,23.5,29.1,21.3,70.0,0.3,100,8.33,rain,0,0,30.2,12.7,127.6,1010.6,24.7,24.0,260.2,22.6,9,10,2024-05-27T05:31:57,2024-05-27T17:24:46,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"81798099999,81834099999"
