name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Maracanaú, CE, Brasil",2024-05-18,32.0,25.0,28.0,36.8,25.0,30.8,23.1,75.3,0.0,0,0.0,rain,0,0,31.7,24.1,131.1,1012.6,25.8,10.8,227.4,19.5,8,30,2024-05-18T05:33:02,2024-05-18T17:29:00,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-05-19,31.0,25.0,28.0,36.5,25.0,31.3,24.4,81.6,3.0,100,4.17,rain,0,0,30.6,20.5,128.4,1012.5,39.3,10.8,208.4,18.1,8,30,2024-05-19T05:33:09,2024-05-19T17:28:59,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-05-20,30.1,25.0,27.8,36.5,25.0,31.3,24.5,82.4,0.6,100,4.17,rain,0,0,33.8,25.9,129.0,1012.7,49.9,11.0,207.3,17.7,7,30,2024-05-20T05:33:16,2024-05-20T17:28:59,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"82397099999,SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-05-21,31.0,26.0,28.3,35.5,26.0,32.0,24.4,79.9,0.0,0,0.0,rain,0,0,37.8,31.7,119.3,1012.8,39.9,11.0,239.9,20.7,8,30,2024-05-21T05:33:24,2024-05-21T17:29:00,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-05-22,31.0,26.0,28.4,35.5,26.0,31.9,23.8,76.9,0.0,0,0.0,rain,0,0,44.3,37.1,126.8,1012.8,46.7,11.0,243.3,21.0,9,10,2024-05-22T05:33:32,2024-05-22T17:29:01,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-05-23,31.0,26.0,28.3,36.5,26.0,32.2,24.3,79.5,3.0,100,4.17,rain,0,0,49.0,29.5,126.3,1011.9,72.4,10.5,204.5,17.7,7,30,2024-05-23T05:33:40,2024-05-23T17:29:03,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"82397099999,SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-05-24,31.0,26.0,28.1,37.7,26.0,31.6,24.0,78.8,5.0,100,4.17,rain,0,0,32.8,27.7,136.5,1011.6,74.0,11.0,107.1,9.2,4,30,2024-05-24T05:33:49,2024-05-24T17:29:06,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"82397099999,SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-05-25,31.0,27.0,28.7,37.7,30.1,33.4,24.5,78.3,2.0,100,4.17,rain,0,0,40.7,25.9,119.4,1011.5,70.8,10.8,192.4,16.7,7,30,2024-05-25T05:33:59,2024-05-25T17:29:09,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-05-26,29.0,25.0,27.2,33.6,25.0,29.7,23.9,82.6,0.0,0,0.0,rain,0,0,33.5,31.7,119.2,1012.9,61.1,10.8,79.2,6.7,3,10,2024-05-26T05:34:08,2024-05-26T17:29:13,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999"
"Maracanaú, CE, Brasil",2024-05-27,32.0,25.8,28.3,36.8,25.8,30.7,23.1,74.4,0.0,0,0.0,,0,0,36.4,27.7,137.4,1012.7,31.9,11.0,255.2,22.1,9,10,2024-05-27T05:34:18,2024-05-27T17:29:17,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"82397099999,SBFZ,82398099999"
